,matricola,nome,cognome,qualifica,dipartimento,data_assunzione,data_di_nascita,classe_laurea,data_laurea,classe_dottorato,data_dottorato
53,684440,Micheletto,Molesini,Strong understanding of data visualization techniques, Learning and Development,2019-10-17 01:25:07,1996-03-24 03:52:30,Master of Social Work (MSW),2021-07-13 02:29:00,Engineering,2024-03-17 03:52:30.603160
54,353294,Tina,Federici,Knowledge of industry-specific software or tools, Mobile App Development,2021-02-18 23:11:02,2002-10-21 09:34:14,,,,
55,36940,Leone,Crespi,Strong understanding of change management principles, Media Relations,2021-05-31 10:33:49,1993-12-21 04:49:15,Bachelor of Nursing (BN),2023-03-15 21:32:06,,
56,524038,Ignazio,Merisi,Strong organizational and time management skills, Business Development,2016-10-02 21:38:40,1998-07-23 00:28:31,Master of Architecture (MArch),2018-09-21 04:10:39,,
57,265868,Fausto,Luna,Attention to detail and accuracy, Public Relations,2015-03-14 15:01:22,2000-12-13 01:26:10,,,,
58,648332,Enzio,Depero,Experience with budget management, Incident Response,2022-01-06 23:56:28,1995-08-24 15:04:43,Associate of Computer Science (ACS),2021-06-04 21:42:33,Education,2023-08-17 15:04:43.728310
59,757683,Giulietta,Paruta,Ability to work with cross-functional teams, Customer Service,2016-08-25 07:32:53,2000-04-16 08:37:19,,,,
60,785141,Romolo,Panzera,Ability to develop and maintain vendor relationships, Tax,2023-02-07 08:46:56,1996-02-12 02:30:11,,,,
61,700101,Giorgio,Zarlino,Strong interpersonal skills, Cybersecurity,2023-01-26 00:55:32,2001-04-16 16:42:42,,,,
62,751053,Dionigi,Valentino,Proactive and self-motivated, Claims and Insurance,2018-07-31 09:49:53,1996-01-23 09:27:38,Diploma in Hospitality Management,2016-11-27 05:04:06,,
63,265714,Maurilio,Asmundo,Team player with strong collaboration abilities, Outsourcing,2023-07-08 06:20:13,1997-06-26 12:12:38,,,,
64,878541,Tullio,Pininfarina,Strong understanding of digital marketing strategies, Online Community Management,2016-10-14 10:53:09,1994-12-30 06:56:15,,,,
65,711868,Ippazio,Giannini,Knowledge of regulatory compliance and reporting, Competitive Intelligence,2023-06-21 20:29:47,1995-09-09 06:58:46,Associate of Nursing (AN),2020-04-06 02:44:25,Business Administration,2023-09-02 06:58:46.329530
66,976504,Livia,Tuzzolino,Bachelor's degree in a relevant field, Workplace Culture,2021-07-14 16:22:02,1998-07-12 09:21:40,Diploma in Fashion Design,2020-08-14 00:52:06,,
67,653931,Ronaldo,Respighi,Experience with data privacy and security measures, Internal Audit,2015-12-05 06:51:49,2002-09-16 05:45:39,,,,
68,854639,Ramona,Ottino,Ability to conduct market forecasting and trend analysis, Business Analytics,2021-01-16 03:47:10,1999-02-07 17:20:00,Associate of Computer Science (ACS),2019-07-14 19:47:47,,
69,612034,Fulvio,Caffarelli,Experience with ERP systems and implementation, Legal,2015-12-10 17:56:36,1999-01-11 12:20:36,,,,
70,348775,Caterina,Maffei,Experience with customer experience (CX) design and optimization, IT,2016-04-30 07:15:13,2000-01-13 13:27:45,,,,
71,486535,Gaetano,Gaggini,Knowledge of supply chain management principles, Corporate Social Responsibility,2023-04-02 21:19:41,2001-04-27 23:32:42,Certificate in Project Management,2023-05-23 11:59:56,,
72,389606,Roberta,Argan,Ability to identify and mitigate risks, Business Analytics,2021-09-21 09:22:18,2001-10-18 14:16:01,Bachelor of Fine Arts (BFA),2022-01-07 11:27:51,,
73,977981,Piergiorgio,Lancisi,Adaptability and flexibility, Corporate Communications,2015-08-26 08:41:21,1999-03-01 11:10:41,,,,
74,579368,Adelmo,Bettin,Strong understanding of data governance principles, Compensation and Benefits,2022-03-08 00:30:44,2001-06-21 13:58:44,,,,
75,841697,Gioffre,Curatoli,Ability to conduct market segmentation and targeting, Logistics,2019-01-27 02:46:52,1995-05-11 10:50:11,Certificate in Graphic Design,2022-03-03 20:11:51,Communication Studies,2023-06-28 22:27:45.000000
76,26783,Alberico,Pedrazzini,Strong understanding of data visualization techniques, Business Intelligence,2016-02-26 10:19:01,2000-09-23 01:53:14,Master of Nursing (MN),2021-05-26 13:17:13,,
77,763871,Vincentio,Traetta,Strong financial analysis and forecasting skills, IT,2017-11-11 06:49:35,1998-08-27 19:24:28,,,,
78,330858,Carla,Berengario,Knowledge of talent acquisition and recruitment strategies, Media Relations,2022-11-17 03:30:44,1997-11-26 00:53:34,,,,
79,43525,Maurilio,Tomasetti,Strong decision-making abilities, Corporate Strategy,2018-08-26 18:49:45,2001-06-29 16:09:07,,,,
80,649768,Saverio,Marinetti,Strong financial analysis and forecasting skills, Project Management,2017-05-21 02:21:11,2001-04-01 00:54:27,Master of Arts (MA),2023-02-15 08:09:14,,
81,453587,Giuseppe,Tomei,Strong understanding of software testing methodologies, Data Analytics,2017-03-20 10:27:58,1994-01-13 08:54:56,Associate of Business Administration (ABA),2021-01-09 20:06:01,,
82,63447,Rosario,Corcos,Ability to manage cross-functional projects, Public Relations,2017-12-17 03:50:19,1997-01-22 20:31:14,,,,
83,918363,Ubaldo,Salandra,Strong research and information-gathering skills, Innovation,2022-11-01 15:41:10,2000-12-22 18:42:37,,,,
84,61554,Ignazio,Tron,Ability to develop and deliver effective presentations, Logistics,2016-09-01 15:37:29,1997-01-08 08:12:06,Bachelor of Engineering (BE),2019-01-01 21:39:45,Physics,2025-01-01 08:12:06.328178
85,95996,Renzo,Manolesso,Knowledge of human resources policies and procedures, Event Management,2021-01-04 08:48:05,2002-08-08 15:47:12,,,,
86,660555,Livia,Inzaghi,Experience with quality assurance and control processes, Data Science,2019-03-02 02:02:38,1995-07-07 19:57:16,,,,
87,919048,Flavia,Nitto,Experience with e-commerce platforms and technologies, Event Management,2020-03-09 20:58:28,1995-09-07 20:20:10,Associate of Nursing (AN),2016-11-26 11:08:12,,
88,153076,Fedele,Pisaroni,Ability to develop and implement sustainability initiatives, Mobile App Development,2020-09-29 09:06:49,1997-07-29 18:01:49,,,,
89,74477,Renzo,Giannotti,Experience with data governance and compliance frameworks, Market Research,2018-06-28 01:06:56,1996-05-06 11:13:59,Certificate in Digital Marketing,2021-01-31 04:43:44,,
90,149360,Ornella,Vigorelli,Strong negotiation and conflict resolution skills, Data Management,2019-06-13 00:23:12,1994-06-02 05:20:24,Bachelor of Engineering (BE),2019-06-19 21:44:37,,
91,621123,Maurizio,Gagliano,Ability to develop and execute social media strategies, Media Relations,2022-05-06 19:39:06,1998-09-14 22:56:39,Certificate in Medical Assisting,2021-01-12 06:00:34,,
92,414388,Costantino,Fusani,Strong data analysis and interpretation skills, Engineering Design,2015-11-20 13:04:32,1994-06-12 00:31:32,Doctor of Medicine (MD),2023-06-15 13:29:51,,
93,23432,Giovanna,Prodi,Strong understanding of software testing methodologies, Inventory Management,2015-02-16 21:13:48,1997-03-01 22:50:45,Bachelor of Business Administration (BBA),2019-06-27 14:44:06,Chemistry,2025-02-22 22:50:45.245610
94,490766,Antonella,Gentileschi,Experience with process improvement and optimization, Network Operations,2022-06-20 15:34:27,1998-06-10 04:52:48,,,,
95,135885,Romana,Semitecolo,Creative thinking and innovation, Supply Chain,2018-11-29 15:54:22,1999-12-12 15:21:48,,,,
96,968131,Greco,Bassi,Experience with customer relationship management (CRM) systems, Design,2022-08-09 00:17:47,2001-07-13 14:06:16,Master of Fine Arts (MFA),2023-01-18 17:36:19,,
97,439642,Piermaria,Alfieri,Strong understanding of inventory management principles, Supply Chain,2018-04-09 05:06:44,1997-12-12 14:17:58,Bachelor of Science (BS),2022-12-14 07:53:30,,
98,160054,Federigo,Panicucci,Strong understanding of inventory management principles, Learning and Development,2023-05-16 16:31:34,2001-05-22 06:32:21,Bachelor of Arts (BA),2023-01-23 21:17:02,,
99,973568,Gioele,Cristoforetti,Attention to detail and accuracy, Artificial Intelligence,2015-04-24 22:43:11,1994-02-24 03:55:11,,,,
100,657115,Donatella,Vitturi,Experience with budget management, Online Community Management,2019-05-03 15:22:25,1995-10-22 04:24:53,,,,
101,220893,Antonietta,Serraglio,Ability to work in a fast-paced environment, Facilities Planning,2021-12-24 02:56:13,1998-03-18 07:06:36,,,,
102,648816,Mirko,Russo,"Technical expertise in a specific area (e.g., programming languages, engineering software)", Customer Success,2021-07-12 22:28:44,1997-06-10 16:13:03,,,,
103,806959,Lolita,Cerquiglini,Ability to develop and implement strategic plans, Employee Relations,2015-01-01 06:45:43,1995-02-26 11:47:44,,,,
104,435528,Dino,Cabrini,Experience with e-commerce platforms and technologies, Health and Safety,2020-01-20 03:39:53,1999-11-11 09:12:06,Master of Computer Science (MCS),2022-02-11 10:18:40,,
105,748666,Luigi,Dulbecco,Knowledge of supply chain management principles, Data Science,2016-06-14 18:42:23,2002-07-26 18:59:46,,,,
106,203140,Fulvio,Cutrufo,Ability to identify and mitigate risks, Internal Audit,2019-03-30 10:53:28,1999-02-13 11:03:20,Doctor of Dental Surgery (DDS),2023-02-27 10:19:25,,
107,409396,Ottone,Amato,Experience with risk assessment and mitigation strategies, Product Marketing,2017-06-01 10:39:20,2000-09-03 06:50:33,,,,
108,580982,Jacopo,Necci,Strong project coordination and scheduling skills, Strategic Partnerships,2017-02-12 21:28:09,1999-01-18 08:13:05,,,,
109,926968,Leone,Boldù,Adaptability and flexibility, Finance,2019-03-30 00:20:55,1999-11-11 23:11:56,,,,
110,705696,Marcello,Fiorucci,Experience with customer relationship management (CRM) systems, Data Management,2019-02-13 09:05:31,1998-07-03 12:20:27,,,,
111,903640,Gemma,Curiel,Ability to manage and resolve conflicts, Communications,2021-11-15 23:27:53,2000-03-12 03:08:34,Certificate in Accounting,2022-10-06 16:31:34,Business Administration,2028-03-05 03:08:34.838138
112,937469,Saverio,Monaco,Knowledge of regulatory compliance and reporting, Market Forecasting,2016-04-17 04:16:57,1996-10-01 01:05:13,Master of Engineering (ME),2020-03-24 14:58:17,,
113,1721,Arnulfo,Desio,Knowledge of talent acquisition and recruitment strategies, Business Development,2019-07-20 01:51:16,2000-02-05 21:52:59,Certificate in Web Development,2021-11-02 23:08:58,,
114,949046,Saverio,Gabrieli,Experience with customer relationship management (CRM) systems, Software Engineering,2019-04-10 02:39:38,1999-03-15 05:26:26,,,,
115,489590,Gelsomina,Borgia,Ability to develop and implement training programs, Regulatory Affairs,2017-06-23 02:17:31,2001-01-21 06:28:27,Certificate in Graphic Design,2021-03-01 15:39:33,,
116,636503,Calcedonio,Caironi,Ability to develop and deliver effective presentations, Inventory Management,2023-01-04 04:58:37,1999-11-12 17:23:57,,,,
117,16504,Melina,Gullotta,Ability to develop and implement marketing campaigns, Customer Service,2018-06-05 18:28:54,2000-01-21 01:51:42,,,,
118,586364,Imelda,Malipiero,Experience with risk assessment and mitigation strategies, Administration,2017-03-31 07:55:28,1999-11-18 09:56:04,,,,
119,960234,Maura,Ludovisi,"Strong understanding of IT service management frameworks (e.g., ITIL)", Data Management,2016-04-10 22:10:31,1994-11-09 17:25:14,Associate of Science (AS),2017-02-28 22:24:04,,
120,29770,Fulvio,Moccia,Experience with process mapping and workflow analysis, Internal Audit,2016-05-14 18:09:41,1996-05-12 06:52:15,Certificate in Automotive Technology,2018-03-08 19:06:49,,
121,677561,Cristina,Tonisto,Knowledge of financial principles and practices, Public Relations,2020-02-20 10:53:18,1999-11-09 22:19:58,Doctor of Medicine (MD),2020-12-11 00:06:36,Neuroscience,2027-11-02 22:19:58.544354
122,557608,Gabriele,Cafarchia,Strong written and verbal communication skills, Social Media Management,2020-08-16 02:24:07,2000-08-22 13:29:46,Doctor of Medicine (MD),2022-10-21 22:50:50,,
123,751170,Baccio,Trebbi,Problem-solving and troubleshooting skills, Product Marketing,2020-07-31 08:46:27,1997-04-03 04:36:38,Certificate in Graphic Design,2021-05-11 10:08:40,,
124,779246,Amedeo,Ravaglioli,Ability to multitask and prioritize effectively, Customer Service,2018-11-25 23:23:07,1998-12-24 20:36:29,Bachelor of Science (BS),2021-07-30 19:09:32,,
125,911811,Vittoria,Cicilia,Problem-solving and troubleshooting skills, Customer Success,2017-05-16 18:22:23,1998-10-30 05:27:39,,,,
126,371315,Marissa,Gagliardi,Strong data analysis and interpretation skills, IT,2018-05-09 12:17:49,1994-04-21 01:55:17,Bachelor of Arts (BA),2018-03-15 05:50:28,Computer Science,2022-07-31 07:06:00.000000
127,232398,Severino,Rosselli,Knowledge of financial modeling and forecasting techniques, Social Media Management,2021-12-28 09:21:42,1998-12-26 07:23:35,,,,
128,932133,Martino,Andreozzi,Strong sales and negotiation skills, Media Relations,2022-11-21 13:22:30,2002-06-11 05:08:39,Bachelor of Fine Arts (BFA),2022-12-14 20:30:53,,
129,667030,Silvia,Montalti,Proficient in Microsoft Office Suite, Network Operations,2023-02-11 14:52:19,1996-01-31 15:36:47,Certificate in Digital Marketing,2018-08-04 19:11:13,,
130,425959,Ludovica,Nonis,Ability to work with cross-functional teams, Data Management,2017-11-04 06:29:51,1999-08-24 18:43:31,Associate of Arts (AA),2021-08-22 12:16:44,History,2027-08-17 18:43:31.028448
131,727376,Niccolò,Vigliotti,Ability to develop and deliver effective presentations, Marketing,2022-10-02 10:04:13,1993-09-22 00:51:34,Certificate in Automotive Technology,2018-03-08 15:35:51,,
132,720221,Elvira,Campise,Project management skills, Sales Operations,2020-05-13 20:03:50,1997-04-02 02:18:32,,,,
133,392564,Saverio,Porzio,Experience with process improvement and optimization, Compliance,2021-05-17 18:10:39,1998-12-06 11:15:35,Diploma in Hospitality Management,2021-09-26 14:43:46,Anthropology,2026-11-29 11:15:35.482390
134,999734,Bartolomeo,Blasi,Strong understanding of change control and configuration management, Manufacturing,2017-05-31 02:02:55,2000-07-25 06:55:34,,,,
135,223801,Alina,Zaccagnini,Excellent problem-solving abilities, Manufacturing,2015-11-05 04:36:41,1996-03-25 21:29:24,,,,
136,126860,Ottavio,Zecchini,Ability to develop and implement marketing campaigns, Graphic Design,2019-11-04 11:22:34,1998-01-24 14:22:06,Master of Computer Science (MCS),2023-06-24 11:52:40,Engineering,2026-01-17 14:22:06.501622
137,199237,Carmelo,Avogadro,Ability to work in a fast-paced environment, Sales,2016-03-13 14:20:48,1999-12-06 09:45:15,,,,
138,809553,Teresa,Cipolla,Master's degree or higher, Compensation and Benefits,2015-11-06 01:26:27,1996-12-25 06:07:47,,,,
139,901832,Stefano,Palladio,Strong attention to quality and accuracy, Corporate Communications,2019-04-04 02:03:39,1994-10-27 13:01:12,Doctor of Dental Surgery (DDS),2017-02-09 23:17:39,,
140,715307,Sabatino,Monduzzi,Strong understanding of digital marketing strategies, Marketing,2019-12-03 17:47:04,2002-12-07 02:34:49,Doctor of Pharmacy (PharmD),2022-12-25 16:10:30,,
141,863519,Gianpietro,Virgilio,Knowledge of software development methodologies, Research and Development,2021-05-01 06:20:59,2001-10-28 01:39:11,Certificate in Digital Marketing,2022-05-24 16:20:54,,
142,381816,Ilaria,Orsini,Knowledge of financial principles and practices, IT,2015-01-28 00:46:40,1995-07-26 17:22:02,Certificate in Culinary Arts,2020-02-03 20:04:01,Economics,2023-07-20 13:39:05.000000
143,213045,Pierluigi,Ricolfi,Strong understanding of change control and configuration management, Customer Service,2018-01-04 16:30:22,1998-04-17 15:42:26,Diploma in Fashion Design,2020-09-19 03:40:19,,
144,310855,Greca,Beccheria,Ability to manage and resolve conflicts, Administration,2021-11-27 14:46:19,1998-09-17 12:39:55,,,,
145,303383,Fernanda,Gabbana,Ability to develop and maintain vendor relationships, Manufacturing Engineering,2019-02-13 21:15:50,1998-12-31 16:16:57,,,,
146,85666,Micheletto,Druso,Strong negotiation and conflict resolution skills, Customer Service,2021-07-03 22:25:12,1996-06-07 21:02:19,Associate of Applied Science (AAS),2017-05-09 19:28:57,,
147,963857,Veronica,Romano,Experience with quality assurance and control processes, Employee Relations,2022-06-01 07:31:10,2002-09-24 21:32:25,,,,
148,868742,Priscilla,Pugliese,Creative thinking and innovation, Digital Marketing,2018-02-08 19:49:52,1996-04-03 02:11:45,Master of Computer Science (MCS),2020-11-30 03:42:34,,
149,961327,Ludovico,Alboni,Knowledge of financial principles and practices, Digital Marketing,2018-01-14 14:41:13,1997-05-03 08:40:43,Associate of Nursing (AN),2020-06-29 21:33:31,,
150,652455,Victoria,Littizzetto,Experience with budget management, Regulatory Compliance,2016-05-29 02:14:04,2001-05-22 22:50:20,Master of Social Work (MSW),2021-06-29 01:41:31,Psychology,2029-05-15 22:50:20.310547
151,923257,Temistocle,Salvemini,Strong project coordination and scheduling skills, Corporate Development,2016-03-07 05:48:25,2000-01-22 05:48:05,Associate of Computer Science (ACS),2020-09-12 20:49:50,,
152,403862,Raimondo,Rusticucci,"Strong understanding of IT service management frameworks (e.g., ITIL)", Customer Service,2020-12-25 10:07:41,1997-10-20 03:52:43,,,,
153,782400,Micheletto,Donati,Ability to work with cross-functional teams, Incident Response,2022-02-20 07:27:55,2002-08-10 12:56:12,Master of Fine Arts (MFA),2023-04-14 00:36:27,Anthropology,2030-08-03 12:56:12.901254
154,861573,Evangelista,Pulci,Ability to develop and execute social media strategies, Claims and Insurance,2020-01-17 23:47:22,1993-09-24 12:28:52,,,,
155,954978,Orazio,Bresciani,Strong understanding of software testing methodologies, Corporate Training,2022-03-22 10:48:00,2002-02-02 21:43:38,Master of Computer Science (MCS),2023-07-18 15:51:16,,
156,678523,Riccardo,Solimena,Ability to interpret and analyze financial statements, Market Research,2017-06-16 19:18:59,1998-01-08 10:52:35,Doctor of Law (JD),2023-05-20 01:27:21,,
157,566275,Donatello,Tamburini,Proactive and self-motivated, Graphic Design,2022-09-29 23:58:20,1998-01-13 20:23:22,,,,
158,480415,Delfino,Milanesi,Analytical and critical thinking skills, Internal Communications,2015-09-03 07:32:14,1995-03-29 02:37:59,Associate of Engineering (AE),2021-09-02 11:24:52,Communication Studies,2023-04-06 18:40:20.000000
159,862331,Giulietta,Buonauro,Experience with process improvement and optimization, Incident Response,2015-04-15 01:46:36,2002-06-04 18:35:42,,,,
160,804772,Fabrizio,Chittolini,Ability to develop and deliver effective presentations, Warehouse and Distribution,2015-11-16 16:18:23,1999-08-07 06:30:01,,,,
161,152151,Luca,Palumbo,Experience with supply chain optimization and logistics, Regulatory Compliance,2018-08-21 22:17:24,1999-08-13 07:57:37,,,,
162,44185,Livia,Spadafora,Experience with risk assessment and management, Inventory Management,2021-06-29 00:16:39,1999-09-09 11:47:06,Master of Education (MEd),2023-07-06 08:26:36,,
163,987903,Mario,Trotta,Attention to detail and accuracy, Artificial Intelligence,2020-09-27 10:48:38,1998-06-25 03:30:37,Certificate in Human Resources Management,2022-02-11 18:05:41,,
164,220397,Alphons,Monaco,Experience with ERP systems and implementation, Customer Service,2021-03-03 03:09:01,2002-10-25 11:40:43,,,,
165,652879,Amadeo,Gussoni,Strong understanding of data governance and data quality management, Research and Innovation,2018-01-31 09:50:40,2002-08-19 09:16:48,,,,
166,889901,Claudio,Sansoni,Strong understanding of data governance and data quality management, Change Management,2015-01-22 14:03:57,1995-07-17 05:41:21,,,,
167,203738,Mattia,Cainero,Strong research and information-gathering skills, Corporate Strategy,2020-06-11 19:54:27,1995-04-21 22:08:05,Certificate in Web Development,2020-10-02 02:40:19,,
168,67807,Mirco,Renzi,Experience with content management systems (CMS), Inventory Management,2015-11-09 08:04:56,1996-02-01 02:28:16,Certificate in Web Development,2017-02-28 16:49:33,,
169,307066,Beppe,Ortese,Knowledge of industry-specific software or tools, Design,2020-11-25 13:25:55,1998-07-24 02:27:54,,,,
